day,FTM_share,LB_share,OPP_share,FTM_conv,LB_conv,OPP_conv,FTM_churn,LB_churn,OPP_churn
0,6.468311459662873,2.8089375040376012,0.0,230.0,105.0,0.0,0.003940792589378983,0.0018733067732096711,0.0
1,10.737020857516484,5.805084960708118,0.0,272.0,110.0,0.0,0.006559419350691341,0.0038525433294832475,0.0
2,15.461307100684342,8.396298888022624,0.0,222.0,75.0,0.0,0.00947138542847892,0.00554282944225048,0.0
3,22.16769045203797,10.489952977656282,0.0,247.0,85.0,0.0,0.013616648646370137,0.006886450906882738,0.0
4,27.6225688652804,11.935502538044478,0.0,242.0,94.0,0.0,0.017013478649463242,0.007783772945136335,0.0
5,34.1546572678052,13.286893935893184,0.0,241.0,102.0,0.0,0.021093811947736935,0.008608602151294949,0.0
6,40.075785595881555,14.616192846388255,0.0,215.0,83.0,0.0,0.02481761786959756,0.009410766924283463,0.0
7,46.143907312582655,15.815752383853514,0.0,212.0,75.0,0.0,0.02865247684728333,0.010117881889580715,0.0
8,53.00279925860172,17.062968148130402,0.0,241.0,78.0,0.0,0.032999945872820347,0.010848751852143032,0.0
9,58.0962909871094,18.805640609010396,0.0,210.0,75.0,0.0,0.03626822680105077,0.01190469692297371,0.0
10,63.32344833314519,21.232231551301453,0.0,232.0,63.0,0.0,0.039637190436173524,0.013409057708938934,0.0
11,69.03857903105502,24.216959667493427,0.0,252.0,99.0,0.0,0.04332987664862766,0.015271883808029643,0.0
12,74.56661412012285,26.220497663132385,0.0,255.0,78.0,0.0,0.04692391745915611,0.016462004361037758,0.0
13,79.75845198379257,28.162898083390246,0.0,193.0,78.0,0.0,0.050324298492440286,0.017599579742140263,0.0
14,84.56225274127434,30.060958263032013,0.0,213.0,86.0,0.0,0.05349653981553966,0.018696577114990964,0.0
15,88.9220657498052,33.04045027988853,0.0,179.0,79.0,0.0,0.05640320768534815,0.020507983143475274,0.0
16,93.5681041787148,34.999646654136356,0.0,191.0,87.0,0.0,0.059506470828839676,0.02162315495881108,0.0
17,99.29830113470703,37.62512221864952,0.0,205.0,81.0,0.0,0.06331655752128647,0.02317308413547611,0.0
18,104.9265126144993,40.08700750320827,0.0,213.0,92.0,0.0,0.06708058646754318,0.02460120192773938,0.0
19,110.22018795252681,42.82081126466764,0.0,194.0,70.0,0.0,0.07064898629681997,0.0261962385406362,0.0
20,115.5592570428459,44.92442591189989,0.0,160.0,70.0,0.0,0.07426424301420825,0.027353094703227873,0.0
21,120.83236994571955,47.122960389133944,0.0,170.0,71.0,0.0,0.07785483906187414,0.028562296959493583,0.0
22,125.82099476904912,50.052712319428295,0.0,180.0,79.0,0.0,0.0812792743164448,0.030248069705647394,0.0
23,130.29632784442987,52.615633583485774,0.0,205.0,99.0,0.0,0.08438793595316396,0.0316733305371204,0.0
24,134.802571290003,54.82602763468809,0.0,172.0,83.0,0.0,0.08753161981484833,0.032849192040925054,0.0
25,140.64434483203303,56.52208818171923,0.0,182.0,64.0,0.0,0.091559791303309,0.033669182698586854,0.0
26,145.74921830765373,58.81153693917781,0.0,173.0,86.0,0.0,0.09512652437928723,0.03487556686574316,0.0
27,151.49009183359917,61.043247785269415,0.0,152.0,84.0,0.0,0.09912647405458544,0.03603108939227412,0.0
28,154.04237132406465,62.59319430146287,0.0,167.0,71.0,0.0,0.10105384286783847,0.03672015047320869,0.0
29,157.38930940167887,64.343765262375,0.0,153.0,58.0,0.0,0.10351237283621295,0.03753714719596972,0.0
30,162.16994956729715,66.27826802894909,0.0,172.0,73.0,0.0,0.10692740194929894,0.03847020639889959,0.0
31,167.81901711300225,68.50030394535614,0.0,150.0,64.0,0.0,0.11093245429489774,0.03958570521457415,0.0
