day,FTM_share,LB_share,OPP_share,FTM_conv,LB_conv,OPP_conv,FTM_churn,LB_churn,OPP_churn
0,6.111989501652772,2.6198744028043013,0.0,207.0,97.0,0.0,0.006208696545426202,0.0017472188173205585,0.0
1,9.611674723043551,5.3460564460116125,0.0,224.0,84.0,0.0,0.009777144200618211,0.003547686522417979,0.0
2,14.5902741500106,8.151483241196571,0.0,232.0,81.0,0.0,0.014861776171573145,0.005384015625852759,0.0
3,21.18866168572598,10.729295296043146,0.0,225.0,106.0,0.0,0.02161246428462357,0.007052810018290022,0.0
4,26.740268245722337,12.201328481755908,0.0,250.0,93.0,0.0,0.027312358922558812,0.007966814287237426,0.0
5,32.574867387827155,13.392644751902875,0.0,192.0,90.0,0.0,0.03331716129535792,0.008683729853034904,0.0
6,38.80539393840369,14.850814817990516,0.0,210.0,91.0,0.0,0.0397437196937382,0.009571869396230177,0.0
7,44.406948133659554,16.034095916148196,0.0,199.0,74.0,0.0,0.04554257893767295,0.010267288939094173,0.0
8,50.814223101038564,17.635765323958047,0.0,222.0,100.0,0.0,0.05218449208046045,0.011233817996596639,0.0
9,55.72542001167817,19.415955743831958,0.0,194.0,76.0,0.0,0.05730575017814547,0.01231175972504315,0.0
10,59.81138504812297,22.161929540245172,0.0,182.0,70.0,0.0,0.061590906594998836,0.014026203586785982,0.0
11,65.50781438307223,25.106072677406083,0.0,268.0,80.0,0.0,0.06754806921277243,0.0158568628390897,0.0
12,70.6902677119808,27.20896417433329,0.0,228.0,84.0,0.0,0.07299040240240243,0.017108503072791617,0.0
13,75.85292208965753,29.430537084450243,0.0,193.0,90.0,0.0,0.0784267034043573,0.018427089883050092,0.0
14,80.5360276767453,31.291584805335415,0.0,210.0,87.0,0.0,0.08338089939869603,0.019492819655367383,0.0
15,85.51818031743704,34.270287437466806,0.0,204.0,91.0,0.0,0.08865817011907604,0.021297367868610348,0.0
16,90.09929422327824,35.88368364419388,0.0,196.0,71.0,0.0,0.09353299912828636,0.02217484819881306,0.0
17,95.789450508263,38.4545946981801,0.0,206.0,80.0,0.0,0.09957344474496058,0.023683540608371457,0.0
18,100.92023561872615,40.56485784277507,0.0,191.0,79.0,0.0,0.10504749633720831,0.02487199054017142,0.0
19,106.04394138877723,43.29839388023586,0.0,208.0,73.0,0.0,0.11052846418315865,0.026463962539215798,0.0
20,112.84616584117332,45.70605697025499,0.0,189.0,86.0,0.0,0.11777554760390475,0.02782078094860706,0.0
21,118.07438211868559,48.128495217124765,0.0,183.0,83.0,0.0,0.12339662571353247,0.029174656356032055,0.0
22,122.87613614495072,51.05764134849941,0.0,176.0,78.0,0.0,0.12858599117167116,0.03085386862535329,0.0
23,126.67624210134221,53.29585555284278,0.0,195.0,72.0,0.0,0.13273914677618087,0.03205606592690165,0.0
